id,value
Public Utilities|Power Generation|Spark Energy Inc. Class A Common Stock(SPKE)(0.393B),SPKE
Public Utilities|Power Generation|Sunnova Energy International Inc. Common Stock(NOVA)(4.571B),NOVA
Public Utilities|Power Generation|UNITIL Corporation Common Stock(UTL)(0.645B),UTL
Public Utilities|Power Generation|VivoPower International PLC Ordinary Shares(VVPR)(0.197B),VVPR
Public Utilities|Power Generation|WEC Energy Group Inc. Common Stock(WEC)(26.332B),WEC
Public Utilities|Power Generation|Xcel Energy Inc. Common Stock(XEL)(33.474B),XEL
Public Utilities|Telecommunications Equipment,NA
Public Utilities|Telecommunications Equipment|ADTRAN Inc. Common Stock(ADTN)(0.744B),ADTN
Public Utilities|Telecommunications Equipment|AT&T Inc. 5.350% Global Notes due 2066(TBB)(0.000B),TBB
Public Utilities|Telecommunications Equipment|AT&T Inc. 5.625% Global Notes due 2067(TBC)(0.000B),TBC
Public Utilities|Telecommunications Equipment|AT&T Inc.(T)(208.293B),T
Public Utilities|Telecommunications Equipment|ATN International Inc. Common Stock(ATNI)(0.704B),ATNI
Public Utilities|Telecommunications Equipment|Akoustis Technologies Inc. Common Stock(AKTS)(0.630B),AKTS
Public Utilities|Telecommunications Equipment|Alaska Communications Systems Group Inc. Common Stock(ALSK)(0.176B),ALSK
Public Utilities|Telecommunications Equipment|America Movil S.A.B. de C.V. American Depository Receipt Series L(AMX)(45.048B),AMX
Public Utilities|Telecommunications Equipment|America Movil S.A.B. de C.V. Class A American Depositary Shares(AMOV)(46.027B),AMOV
Public Utilities|Telecommunications Equipment|Anterix Inc. Common Stock(ATEX)(0.790B),ATEX
Public Utilities|Telecommunications Equipment|Atento S.A. Ordinary Shares(ATTO)(0.325B),ATTO
Public Utilities|Telecommunications Equipment|AudioCodes Ltd. Common Stock(AUDC)(0.978B),AUDC
Public Utilities|Telecommunications Equipment|Avaya Holdings Corp. Common Stock(AVYA)(2.526B),AVYA
Public Utilities|Telecommunications Equipment|BCE Inc. Common Stock(BCE)(39.739B),BCE
Public Utilities|Telecommunications Equipment|Chunghwa Telecom Co. Ltd.(CHT)(30.324B),CHT
Public Utilities|Telecommunications Equipment|Ciena Corporation Common Stock(CIEN)(8.421B),CIEN
Public Utilities|Telecommunications Equipment|Cincinnati Bell Inc. Common Stock(CBB)(0.774B),CBB
Public Utilities|Telecommunications Equipment|ClearOne Inc. (DE) Common Stock(CLRO)(0.065B),CLRO
Public Utilities|Telecommunications Equipment|Clearfield Inc. Common Stock(CLFD)(0.474B),CLFD
Public Utilities|Telecommunications Equipment|Communications Systems Inc. Common Stock(JCS)(0.057B),JCS
Public Utilities|Telecommunications Equipment|Consolidated Communications Holdings Inc. Common Stock(CNSL)(0.430B),CNSL
Public Utilities|Telecommunications Equipment|Crexendo Inc. Common Stock(CXDO)(0.108B),CXDO
Public Utilities|Telecommunications Equipment|DZS Inc. Common Stock(DZSI)(0.455B),DZSI
Public Utilities|Telecommunications Equipment|Fabrinet Ordinary Shares(FN)(3.194B),FN
Public Utilities|Telecommunications Equipment|GTT Communications Inc. Common Stock(GTT)(0.164B),GTT
Public Utilities|Telecommunications Equipment|IDT Corporation Class B Common Stock(IDT)(0.478B),IDT
Public Utilities|Telecommunications Equipment|Infinera Corporation Common Stock(INFN)(2.006B),INFN
Public Utilities|Telecommunications Equipment|KT Corporation Common Stock(KT)(5.550B),KT
Public Utilities|Telecommunications Equipment|Liberty Broadband Corporation Series A Cumulative Redeemable Preferred Stock(LBRDP)(0.000B),LBRDP
Public Utilities|Telecommunications Equipment|Lumen Technologies Inc. Common Stock(LUMN)(12.836B),LUMN
Public Utilities|Telecommunications Equipment|MER Telemanagement Solutions Ltd. Common Shares(MTSL)(0.013B),MTSL
Public Utilities|Telecommunications Equipment|Millicom International Cellular S.A. Common Stock(TIGO)(3.741B),TIGO
Public Utilities|Telecommunications Equipment|Mobile TeleSystems PJSC(MBT)(7.619B),MBT
Public Utilities|Telecommunications Equipment|NETGEAR Inc. Common Stock(NTGR)(1.296B),NTGR
Public Utilities|Telecommunications Equipment|Orange(ORAN)(31.452B),ORAN
Public Utilities|Telecommunications Equipment|Otelco Inc. Class A Common Stock(OTEL)(0.040B),OTEL
Public Utilities|Telecommunications Equipment|PLDT Inc. Sponsored ADR(PHI)(6.030B),PHI
Public Utilities|Telecommunications Equipment|PT Telekomunikasi Indonesia Tbk(TLK)(22.576B),TLK
Public Utilities|Telecommunications Equipment|Partner Communications Company Ltd. American Depositary Shares(PTNR)(0.845B),PTNR
Public Utilities|Telecommunications Equipment|Plantronics Inc. Common Stock(PLT)(1.629B),PLT
Public Utilities|Telecommunications Equipment|Qwest Corporation 6.5% Notes due 2056(CTBB)(0.000B),CTBB
Public Utilities|Telecommunications Equipment|Qwest Corporation 6.75% Notes due 2057(CTDD)(0.000B),CTDD
Public Utilities|Telecommunications Equipment|SK Telecom Co. Ltd. Common Stock(SKM)(16.360B),SKM
Public Utilities|Telecommunications Equipment|Shenandoah Telecommunications Co Common Stock(SHEN)(2.181B),SHEN
Public Utilities|Telecommunications Equipment|Siyata Mobile Inc. Common Shares(SYTA)(0.066B),SYTA
Public Utilities|Telecommunications Equipment|Siyata Mobile Inc. Warrant(SYTAW)(0.000B),SYTAW
Public Utilities|Telecommunications Equipment|Sonim Technologies Inc. Common Stock(SONM)(0.086B),SONM
Public Utilities|Telecommunications Equipment|Spok Holdings Inc. Common Stock(SPOK)(0.193B),SPOK
Public Utilities|Telecommunications Equipment|Sunworks Inc. Common Stock(SUNW)(0.258B),SUNW
Public Utilities|Telecommunications Equipment|T-Mobile US Inc. Common Stock(TMUS)(152.792B),TMUS
Public Utilities|Telecommunications Equipment|TIM S.A. American Depositary Shares (Each representing 5 Common Shares)(TIMB)(6.052B),TIMB
Public Utilities|Telecommunications Equipment|Telecom Argentina SA(TEO)(5.446B),TEO
Public Utilities|Telecommunications Equipment|Telefonica Brasil S.A. American Depositary Shares (Each representing One Common Share)(VIV)(14.376B),VIV
Public Utilities|Telecommunications Equipment|Telefonica SA Common Stock(TEF)(24.956B),TEF
Public Utilities|Telecommunications Equipment|Telephone and Data Systems Inc. 5.875% Senior Notes due 2061(TDA)(0.000B),TDA
Public Utilities|Telecommunications Equipment|Telephone and Data Systems Inc. 6.875% Senior Notes due 2059(TDE)(0.000B),TDE
Public Utilities|Telecommunications Equipment|Telephone and Data Systems Inc. 7% Senior Notes due 2060(TDJ)(0.000B),TDJ
Public Utilities|Telecommunications Equipment|Telephone and Data Systems Inc. Common Shares(TDS)(2.321B),TDS
Public Utilities|Telecommunications Equipment|Telephone and Data Systems Inc. Sr Nt(TDI)(0.000B),TDI
Public Utilities|Telecommunications Equipment|Telus Corporation Ordinary Shares(TU)(26.900B),TU
Public Utilities|Telecommunications Equipment|Turkcell Iletisim Hizmetleri AS Common Stock(TKC)(5.100B),TKC
Public Utilities|Telecommunications Equipment|United States Cellular Corporation 5.500% Senior Notes due 2070(UZE)(0.000B),UZE
Public Utilities|Telecommunications Equipment|United States Cellular Corporation 6.250% Senior Notes due 2069(UZD)(0.000B),UZD
Public Utilities|Telecommunications Equipment|United States Cellular Corporation 6.95% Senior Notes due 2060(UZA)(0.000B),UZA
Public Utilities|Telecommunications Equipment|United States Cellular Corporation 7.25% Senior Notes due 2063(UZB)(0.000B),UZB
Public Utilities|Telecommunications Equipment|United States Cellular Corporation 7.25% Senior Notes due 2064(UZC)(0.000B),UZC
Public Utilities|Telecommunications Equipment|United States Cellular Corporation Common Stock(USM)(2.820B),USM
Public Utilities|Telecommunications Equipment|VEON Ltd. ADS(VEON)(3.183B),VEON
Public Utilities|Telecommunications Equipment|Verizon Communications Inc. Common Stock(VZ)(235.783B),VZ
Public Utilities|Telecommunications Equipment|Vodafone Group Plc American Depositary Shares(VOD)(49.482B),VOD
Public Utilities|Telecommunications Equipment|Vonage Holdings Corp. Common Stock(VG)(3.236B),VG
Public Utilities|Water Supply,NA
Public Utilities|Water Supply|American States Water Company Common Stock(AWR)(2.890B),AWR
Public Utilities|Water Supply|American Water Works Company Inc. Common Stock(AWK)(29.031B),AWK
Public Utilities|Water Supply|Artesian Resources Corporation Class A Common Stock(ARTNA)(0.355B),ARTNA
Public Utilities|Water Supply|CADIZ Inc. Common Stock(CDZI)(0.404B),CDZI
Public Utilities|Water Supply|California Water Service Group Common Stock(CWT)(2.912B),CWT
Public Utilities|Water Supply|Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp American Depositary Shares (Each repstg 250 Common Shares)(SBS)(5.065B),SBS
Public Utilities|Water Supply|Consolidated Water Co. Ltd. Ordinary Shares(CWCO)(0.198B),CWCO
Public Utilities|Water Supply|Essential Utilities Inc. 6.00% TEU(WTRU)(0.000B),WTRU
Public Utilities|Water Supply|Essential Utilities Inc. Common Stock(WTRG)(11.197B),WTRG
Public Utilities|Water Supply|Global Water Resources Inc. Common Stock(GWRS)(0.367B),GWRS
Public Utilities|Water Supply|Middlesex Water Company Common Stock(MSEX)(1.343B),MSEX
Public Utilities|Water Supply|Pure Cycle Corporation Common Stock(PCYO)(0.276B),PCYO
Public Utilities|Water Supply|SJW Group Common Stock (DE)(SJW)(1.952B),SJW
Public Utilities|Water Supply|York Water Company (The) Common Stock(YORW)(0.565B),YORW
