id,value
Finance|Business Services|East Resources Acquisition Company Class A Common Stock(ERES)(0.455B),ERES
Finance|Business Services|East Resources Acquisition Company Unit(ERESU)(0.000B),ERESU
Finance|Business Services|East Resources Acquisition Company Warrant(ERESW)(0.000B),ERESW
Finance|Business Services|Edify Acquisition Corp. Units(EACPU)(0.000B),EACPU
Finance|Business Services|Edoc Acquisition Corp. Class A Ordinary Share(ADOC)(0.125B),ADOC
Finance|Business Services|Edoc Acquisition Corp. Right(ADOCR)(0.000B),ADOCR
Finance|Business Services|Edoc Acquisition Corp. Warrant(ADOCW)(0.000B),ADOCW
Finance|Business Services|EdtechX Holdings Acquisition Corp. II Class A common stock(EDTX)(0.080B),EDTX
Finance|Business Services|EdtechX Holdings Acquisition Corp. II Unit(EDTXU)(0.154B),EDTXU
Finance|Business Services|EdtechX Holdings Acquisition Corp. II Warrant(EDTXW)(0.000B),EDTXW
Finance|Business Services|Empower Ltd. Class A Ordinary Shares(EMPW)(0.331B),EMPW
Finance|Business Services|Environmental Impact Acquisition Corp. Unit(ENVIU)(0.000B),ENVIU
Finance|Business Services|Epiphany Technology Acquisition Corp. Unit(EPHYU)(0.000B),EPHYU
Finance|Business Services|Equity Distribution Acquisition Corp. Class A Common Stock(EQD)(0.548B),EQD
Finance|Business Services|Eucrates Biomedical Acquisition Corp. Ordinary Shares(EUCR)(0.000B),EUCR
Finance|Business Services|Eucrates Biomedical Acquisition Corp. Unit(EUCRU)(0.000B),EUCRU
Finance|Business Services|Eucrates Biomedical Acquisition Corp. Warrant(EUCRW)(0.000B),EUCRW
Finance|Business Services|European Sustainable Growth Acquisition Corp. Unit(EUSGU)(0.000B),EUSGU
Finance|Business Services|Evo Acquisition Corp. Unit(EVOJU)(0.000B),EVOJU
Finance|Business Services|Executive Network Partnering Corporation Class A Common Stock(ENPC)(0.448B),ENPC
Finance|Business Services|FAST Acquisition Corp. Class A Common Stock(FST)(1.345B),FST
Finance|Business Services|FG New America Acquisition Corp. Class A Common Stock(FGNA)(0.317B),FGNA
Finance|Business Services|FTAC Olympus Acquisition Corp. Class A Ordinary Shares(FTOC)(1.234B),FTOC
Finance|Business Services|FTAC Olympus Acquisition Corp. Unit(FTOCU)(0.000B),FTOCU
Finance|Business Services|FTAC Olympus Acquisition Corp. Warrant(FTOCW)(0.000B),FTOCW
Finance|Business Services|Falcon Capital Acquisition Corp. Class A Common Stock(FCAC)(0.481B),FCAC
Finance|Business Services|Falcon Capital Acquisition Corp. Unit(FCACU)(0.000B),FCACU
Finance|Business Services|Falcon Capital Acquisition Corp. Warrant(FCACW)(0.000B),FCACW
Finance|Business Services|Far Peak Acquisition Corporation Class A Ordinary Shares(FPAC)(0.744B),FPAC
Finance|Business Services|Fifth Wall Acquisition Corp. I Class A Common Stock(FWAA)(0.000B),FWAA
Finance|Business Services|FinTech Acquisition Corp. V Class A Common Stock(FTCV)(0.000B),FTCV
Finance|Business Services|FinTech Acquisition Corp. V Unit(FTCVU)(0.000B),FTCVU
